# stan_version_major = 2
# stan_version_minor = 18
# stan_version_patch = 1
# model = dcf_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file =  (Default)
# init = 2 (Default)
# random
#   seed = 2626239156
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,terminal_growth,discount_rate,years.1,years.2,years.3,years.4,cashflows.1,cashflows.2,cashflows.3,cashflows.4,value
-8.4388,0.861687,0.723599,2,3,0,8.69621,0.0926612,0.050893,2010,2011,2012,2013,-100,-50,150,500,-10851.2
-7.88661,0.995598,0.723599,2,7,0,9.96989,0.0452766,0.0295236,2010,2011,2012,2013,-100,-50,150,500,-29952.8
-7.95655,0.996544,0.723599,2,3,0,8.105,0.0422049,0.0288018,2010,2011,2012,2013,-100,-50,150,500,-35252.3
-8.97144,0.870498,0.723599,2,3,0,9.42875,0.0926644,0.178784,2010,2011,2012,2013,-100,-50,150,500,4143.84
-7.3016,1,0.723599,2,3,0,9.16762,0.0626346,0.161221,2010,2011,2012,2013,-100,-50,150,500,3729.37
-7.3894,0.99592,0.723599,2,3,0,7.50203,0.0504079,0.0437349,2010,2011,2012,2013,-100,-50,150,500,-68791.5
-8.12249,0.951415,0.723599,2,3,0,8.40583,0.0570085,0.185708,2010,2011,2012,2013,-100,-50,150,500,2727.89
-9.54968,0.863251,0.723599,2,3,0,10.0571,0.0222678,0.193022,2010,2011,2012,2013,-100,-50,150,500,2020.8
-9.01207,0.970262,0.723599,2,3,0,10.8676,0.0942785,0.0364357,2010,2011,2012,2013,-100,-50,150,500,-8055.63
-6.86848,1,0.723599,2,3,0,8.60387,0.0484526,0.112235,2010,2011,2012,2013,-100,-50,150,500,6313.19
-8.37368,0.786198,0.723599,2,3,0,8.395,0.0151654,0.108997,2010,2011,2012,2013,-100,-50,150,500,4309.57
-8.68106,0.985503,0.723599,1,1,0,8.74187,0.0137726,0.115041,2010,2011,2012,2013,-100,-50,150,500,3946.94
-8.96123,0.896572,0.723599,3,11,0,10.0427,0.0134646,0.146326,2010,2011,2012,2013,-100,-50,150,500,2834.42
-8.76718,0.829885,0.723599,4,29,0,10.4736,0.0134782,0.118202,2010,2011,2012,2013,-100,-50,150,500,3793.67
-8.10098,1,0.723599,2,3,0,8.76808,0.0170197,0.0939118,2010,2011,2012,2013,-100,-50,150,500,5413.7
-6.98587,0.901492,0.723599,2,3,0,9.03179,0.0519629,0.139342,2010,2011,2012,2013,-100,-50,150,500,4379.8
-9.67888,0.601929,0.723599,2,3,0,9.90953,0.0986623,0.105981,2010,2011,2012,2013,-100,-50,150,500,55830.5
-7.89944,0.804226,0.723599,2,7,0,12.0557,0.0750395,0.176538,2010,2011,2012,2013,-100,-50,150,500,3524.64
-7.43421,1,0.723599,2,3,0,8.2483,0.0828022,0.0740579,2010,2011,2012,2013,-100,-50,150,500,-49583.1
-7.79331,0.971082,0.723599,2,3,0,8.27276,0.0200191,0.119928,2010,2011,2012,2013,-100,-50,150,500,3965.06
-8.09269,0.939402,0.723599,2,3,0,8.74181,0.0217065,0.0473781,2010,2011,2012,2013,-100,-50,150,500,17743.5
-10.3244,0.832333,0.723599,2,3,0,10.8775,0.086724,0.0129456,2010,2011,2012,2013,-100,-50,150,500,-6608.11
-8.63586,1,0.723599,3,7,0,10.4304,0.0301731,0.187878,2010,2011,2012,2013,-100,-50,150,500,2211.1
-8.53093,0.998822,0.723599,2,7,0,9.17789,0.0196276,0.173305,2010,2011,2012,2013,-100,-50,150,500,2329.76
-6.85474,0.978159,0.723599,1,3,0,9.17774,0.0593411,0.0989065,2010,2011,2012,2013,-100,-50,150,500,10443.6
-6.90577,0.924928,0.723599,2,3,0,7.28713,0.0501332,0.126533,2010,2011,2012,2013,-100,-50,150,500,5130.72
-7.07868,0.887261,0.723599,2,3,0,7.60971,0.0555454,0.0613394,2010,2011,2012,2013,-100,-50,150,500,76596.6
-7.09716,0.998627,0.723599,2,3,0,7.14591,0.0569863,0.149989,2010,2011,2012,2013,-100,-50,150,500,4035.19
-7.77426,0.695857,0.723599,3,15,0,9.76938,0.0225663,0.0645424,2010,2011,2012,2013,-100,-50,150,500,10496.4
-8.59407,0.841002,0.723599,2,7,0,9.70864,0.0472709,0.0188981,2010,2011,2012,2013,-100,-50,150,500,-16979.4
-8.83565,0.990484,0.723599,1,1,0,8.95354,0.0474191,0.0169043,2010,2011,2012,2013,-100,-50,150,500,-15849.4
-8.29333,0.994749,0.723599,3,11,0,9.05878,0.0697065,0.0233927,2010,2011,2012,2013,-100,-50,150,500,-10313.7
-10.373,0.933368,0.723599,2,3,0,10.6194,0.049069,0.0114249,2010,2011,2012,2013,-100,-50,150,500,-12986.7
-7.31052,0.938914,0.723599,2,3,0,10.1546,0.0391535,0.054196,2010,2011,2012,2013,-100,-50,150,500,29896.8
-7.33742,0.964723,0.723599,2,3,0,7.89601,0.0468841,0.047162,2010,2011,2012,2013,-100,-50,150,500,1.64106e+06
-7.34201,0.978969,0.723599,2,7,0,7.80715,0.0761297,0.0601882,2010,2011,2012,2013,-100,-50,150,500,-27918.3
-7.33452,0.875306,0.723599,2,7,0,8.59781,0.0335494,0.0614845,2010,2011,2012,2013,-100,-50,150,500,15871.2
-8.62211,0.860899,0.723599,2,3,0,9.06869,0.0151931,0.0599119,2010,2011,2012,2013,-100,-50,150,500,9939.02
-7.39151,1,0.723599,4,31,0,8.6282,0.0279456,0.13454,2010,2011,2012,2013,-100,-50,150,500,3616.6
-7.10418,0.999217,0.723599,2,7,0,7.41354,0.0708994,0.0718819,2010,2011,2012,2013,-100,-50,150,500,442920
-7.96564,0.918671,0.723599,2,3,0,8.11695,0.0891366,0.151034,2010,2011,2012,2013,-100,-50,150,500,6066.88
-7.14177,0.970558,0.723599,1,3,0,9.53356,0.0325745,0.0934011,2010,2011,2012,2013,-100,-50,150,500,6855.45
-9.04012,0.635953,0.723599,2,3,0,9.76371,0.0243589,0.0203924,2010,2011,2012,2013,-100,-50,150,500,-121073
-7.47024,0.9106,0.723599,3,7,0,12.8092,0.0847784,0.126563,2010,2011,2012,2013,-100,-50,150,500,9402.31
-6.90428,0.994223,0.723599,2,3,0,7.50436,0.0627005,0.122192,2010,2011,2012,2013,-100,-50,150,500,6648.42
-7.3341,0.860896,0.723599,1,3,0,7.83743,0.02693,0.105361,2010,2011,2012,2013,-100,-50,150,500,5195.19
-7.11759,0.881165,0.723599,3,7,0,8.95243,0.0694264,0.0676541,2010,2011,2012,2013,-100,-50,150,500,-247508
-7.36343,0.952747,0.723599,1,1,0,7.38275,0.0706764,0.0508562,2010,2011,2012,2013,-100,-50,150,500,-22856
-6.91723,1,0.723599,2,3,0,7.29773,0.0588437,0.129469,2010,2011,2012,2013,-100,-50,150,500,5522.93
-6.91723,0.701958,0.723599,1,3,0,8.46825,0.0588437,0.129469,2010,2011,2012,2013,-100,-50,150,500,5522.93
-7.07937,0.972052,0.723599,2,3,0,7.16274,0.0344129,0.110424,2010,2011,2012,2013,-100,-50,150,500,5311.39
-6.89019,0.99498,0.723599,2,3,0,7.13551,0.0501548,0.123169,2010,2011,2012,2013,-100,-50,150,500,5402.83
-7.0517,0.966883,0.723599,2,3,0,7.14832,0.0356211,0.111912,2010,2011,2012,2013,-100,-50,150,500,5277.32
-7.06715,0.998566,0.723599,2,7,0,7.1212,0.0750523,0.0986073,2010,2011,2012,2013,-100,-50,150,500,17566.1
-6.95813,0.980212,0.723599,2,3,0,7.29675,0.0400755,0.106739,2010,2011,2012,2013,-100,-50,150,500,6100.67
-6.95813,0.438605,0.723599,2,7,0,11.4689,0.0400755,0.106739,2010,2011,2012,2013,-100,-50,150,500,6100.67
-8.27285,0.641707,0.723599,1,3,0,9.47208,0.084706,0.177133,2010,2011,2012,2013,-100,-50,150,500,3869.85
-7.0859,1,0.723599,2,3,0,8.08529,0.0362444,0.083255,2010,2011,2012,2013,-100,-50,150,500,9045.52
-6.90712,0.943779,0.723599,2,3,0,7.62719,0.0494455,0.126083,2010,2011,2012,2013,-100,-50,150,500,5118.94
-7.80905,0.858966,0.723599,2,3,0,7.83456,0.050983,0.0303766,2010,2011,2012,2013,-100,-50,150,500,-22862
-7.63783,1,0.723599,1,1,0,7.87524,0.05473,0.0346033,2010,2011,2012,2013,-100,-50,150,500,-23216.9
-6.88129,0.988506,0.723599,1,3,0,7.91584,0.0619632,0.11689,2010,2011,2012,2013,-100,-50,150,500,7272.77
-6.87586,0.95513,0.723599,2,3,0,7.17264,0.0467893,0.10242,2010,2011,2012,2013,-100,-50,150,500,7373.49
-7.22678,0.892354,0.723599,2,3,0,7.60848,0.0804295,0.107725,2010,2011,2012,2013,-100,-50,150,500,14905.8
-6.87724,1,0.723599,2,3,0,7.18698,0.0499443,0.119408,2010,2011,2012,2013,-100,-50,150,500,5719.34
-7.23659,0.885762,0.723599,1,3,0,7.56193,0.0748117,0.0664558,2010,2011,2012,2013,-100,-50,150,500,-52627.8
-7.35134,0.987325,0.723599,2,3,0,7.50606,0.045048,0.162682,2010,2011,2012,2013,-100,-50,150,500,3112.18
-7.24204,0.902407,0.723599,1,3,0,8.4566,0.0676167,0.0553583,2010,2011,2012,2013,-100,-50,150,500,-36634.2
-6.93368,1,0.723599,2,3,0,7.19618,0.0575059,0.132767,2010,2011,2012,2013,-100,-50,150,500,5150.21
-8.50026,0.691695,0.723599,2,3,0,9.16346,0.0917815,0.167046,2010,2011,2012,2013,-100,-50,150,500,4844.85
-8.04192,0.978027,0.723599,4,27,0,9.13997,0.0340441,0.0304597,2010,2011,2012,2013,-100,-50,150,500,-131376
-7.23272,0.935977,0.723599,3,7,0,10.1328,0.0301502,0.0892991,2010,2011,2012,2013,-100,-50,150,500,7104.59
-9.18514,0.796441,0.723599,2,3,0,9.39226,0.097733,0.119417,2010,2011,2012,2013,-100,-50,150,500,18376.6
-7.6471,0.840139,0.723599,2,3,0,10.8347,0.0769272,0.0438597,2010,2011,2012,2013,-100,-50,150,500,-13886.9
-7.24087,1,0.723599,1,1,0,7.59212,0.0740369,0.0643337,2010,2011,2012,2013,-100,-50,150,500,-45502.6
-7.33986,0.994709,0.723599,2,3,0,7.4166,0.0317032,0.144195,2010,2011,2012,2013,-100,-50,150,500,3365.95
-9.1161,0.810866,0.723599,2,7,0,9.24471,0.0880525,0.0212739,2010,2011,2012,2013,-100,-50,150,500,-7183.88
-8.64524,0.97971,0.723599,4,23,0,10.7344,0.0830925,0.02382,2010,2011,2012,2013,-100,-50,150,500,-8053.39
-7.01974,1,0.723599,2,3,0,8.66343,0.0704736,0.0834883,2010,2011,2012,2013,-100,-50,150,500,32707.2
-6.92112,0.990776,0.723599,2,3,0,7.15641,0.0475875,0.126455,2010,2011,2012,2013,-100,-50,150,500,4970.1
-7.37808,0.900198,0.723599,2,3,0,7.58577,0.0723705,0.158152,2010,2011,2012,2013,-100,-50,150,500,4314.23
-9.81746,0.733056,0.723599,2,7,0,10.0306,0.0986966,0.073935,2010,2011,2012,2013,-100,-50,150,500,-17524.5
-9.18601,0.984558,0.723599,2,7,0,10.7305,0.0136888,0.164346,2010,2011,2012,2013,-100,-50,150,500,2415.74
-10.3685,0.968809,0.723599,2,3,0,10.3884,0.0121398,0.183539,2010,2011,2012,2013,-100,-50,150,500,2047.38
-9.24762,1,0.723599,2,3,0,10.6304,0.0121358,0.12069,2010,2011,2012,2013,-100,-50,150,500,3642.18
-9.29598,0.824667,0.723599,3,7,0,11.0283,0.0980167,0.0992346,2010,2011,2012,2013,-100,-50,150,500,339742
-7.05427,0.994115,0.723599,3,11,0,9.33068,0.0353033,0.10328,2010,2011,2012,2013,-100,-50,150,500,6020.72
-8.52549,0.647399,0.723599,2,7,0,9.61372,0.0443887,0.0198446,2010,2011,2012,2013,-100,-50,150,500,-19591.2
-9.34399,0.975679,0.723599,3,7,0,9.35218,0.041879,0.0143493,2010,2011,2012,2013,-100,-50,150,500,-17655.5
-9.54731,0.981653,0.723599,2,3,0,9.85066,0.02892,0.0149044,2010,2011,2012,2013,-100,-50,150,500,-34638.2
-10.2388,0.96641,0.723599,2,3,0,10.6714,0.016337,0.0162771,2010,2011,2012,2013,-100,-50,150,500,-8.07162e+06
-7.71136,1,0.723599,2,3,0,10.3324,0.0436257,0.175614,2010,2011,2012,2013,-100,-50,150,500,2706.99
-7.38403,0.965326,0.723599,2,3,0,8.35953,0.0454027,0.0455836,2010,2011,2012,2013,-100,-50,150,500,2.52869e+06
-8.13914,0.698985,0.723599,2,3,0,10.443,0.0193459,0.0559755,2010,2011,2012,2013,-100,-50,150,500,12228.5
-8.01024,0.994125,0.723599,3,11,0,8.32548,0.0178698,0.0894961,2010,2011,2012,2013,-100,-50,150,500,5861.41
-6.92837,0.981742,0.723599,2,5,0,8.67981,0.0592344,0.0789429,2010,2011,2012,2013,-100,-50,150,500,21775.6
-6.87894,0.999541,0.723599,2,3,0,6.95721,0.0636517,0.104737,2010,2011,2012,2013,-100,-50,150,500,9949.25
-6.87894,0.671866,0.723599,1,3,0,8.42176,0.0636517,0.104737,2010,2011,2012,2013,-100,-50,150,500,9949.25
-7.17372,0.785627,0.723599,4,15,0,8.48293,0.0429131,0.0597298,2010,2011,2012,2013,-100,-50,150,500,26461.7
-7.15524,0.988318,0.723599,2,3,0,7.52416,0.072219,0.141069,2010,2011,2012,2013,-100,-50,150,500,5548.94
-7.2205,0.892082,0.723599,1,3,0,8.12906,0.0372189,0.0637008,2010,2011,2012,2013,-100,-50,150,500,16672.7
-7.44686,0.828987,0.723599,1,3,0,8.73029,0.0797907,0.149198,2010,2011,2012,2013,-100,-50,150,500,5424.86
-7.34911,1,0.723599,1,1,0,7.50345,0.0787243,0.143771,2010,2011,2012,2013,-100,-50,150,500,5846.76
-7.15486,0.982598,0.723599,2,3,0,7.68956,0.049128,0.153116,2010,2011,2012,2013,-100,-50,150,500,3585.55
-7.4343,0.842073,0.723599,1,3,0,8.49949,0.0681388,0.0452294,2010,2011,2012,2013,-100,-50,150,500,-19987.6
-7.3268,1,0.723599,2,3,0,7.58579,0.0503168,0.163399,2010,2011,2012,2013,-100,-50,150,500,3234.6
-7.35839,0.996591,0.723599,2,7,0,7.53541,0.0670416,0.0481761,2010,2011,2012,2013,-100,-50,150,500,-24134.2
-7.10438,0.920643,0.723599,2,7,0,8.17053,0.045671,0.147147,2010,2011,2012,2013,-100,-50,150,500,3714.68
-6.98804,0.950442,0.723599,2,7,0,7.5261,0.0634606,0.0742356,2010,2011,2012,2013,-100,-50,150,500,40195.4
-8.73733,0.759431,0.723599,2,7,0,8.8151,0.0687182,0.191781,2010,2011,2012,2013,-100,-50,150,500,2824.2
-8.80257,0.951276,0.723599,4,19,0,9.9783,0.0156378,0.165163,2010,2011,2012,2013,-100,-50,150,500,2430.68
-7.73988,0.980182,0.723599,4,15,0,9.65714,0.0240323,0.150223,2010,2011,2012,2013,-100,-50,150,500,2964.79
-9.1433,0.948219,0.723599,2,3,0,9.91706,0.0967483,0.155424,2010,2011,2012,2013,-100,-50,150,500,6352.09
-8.41422,1,0.723599,2,3,0,9.79257,0.088154,0.0347841,2010,2011,2012,2013,-100,-50,150,500,-8757.55
-7.20938,1,0.723599,2,3,0,8.28907,0.0325247,0.131525,2010,2011,2012,2013,-100,-50,150,500,3917.61
-6.90912,1,0.723599,2,3,0,7.21838,0.0478627,0.085649,2010,2011,2012,2013,-100,-50,150,500,11208
-7.49261,0.53677,0.723599,4,31,0,9.70278,0.0273842,0.0665632,2010,2011,2012,2013,-100,-50,150,500,11203.7
-8.60951,0.888541,0.723599,3,11,0,9.02442,0.0256588,0.184663,2010,2011,2012,2013,-100,-50,150,500,2205.32
-7.78324,1,0.723599,2,3,0,8.79298,0.022073,0.143104,2010,2011,2012,2013,-100,-50,150,500,3132.63
-8.00091,0.950205,0.723599,2,3,0,8.57917,0.0671177,0.0277115,2010,2011,2012,2013,-100,-50,150,500,-12020
-7.40395,0.972548,0.723599,2,3,0,8.47882,0.0802501,0.0659993,2010,2011,2012,2013,-100,-50,150,500,-30890.5
-7.00361,0.983181,0.723599,2,3,0,7.61401,0.0592495,0.0691755,2010,2011,2012,2013,-100,-50,150,500,44049.9
-6.99538,0.975474,0.723599,2,7,0,7.23442,0.0385301,0.0953856,2010,2011,2012,2013,-100,-50,150,500,7308.68
-7.45,0.755224,0.723599,2,3,0,8.50447,0.0617265,0.168268,2010,2011,2012,2013,-100,-50,150,500,3405.58
-6.909,0.943557,0.723599,2,3,0,8.10162,0.0440496,0.0972424,2010,2011,2012,2013,-100,-50,150,500,7786.53
-7.00621,0.976106,0.723599,2,3,0,7.09842,0.0444937,0.135514,2010,2011,2012,2013,-100,-50,150,500,4232.65
-8.29514,0.723898,0.723599,2,3,0,8.97876,0.0831547,0.179563,2010,2011,2012,2013,-100,-50,150,500,3692.87
-8.3072,0.967135,0.723599,2,3,0,9.35421,0.0943818,0.116188,2010,2011,2012,2013,-100,-50,150,500,18379.9
-7.13837,0.983619,0.723599,2,3,0,8.418,0.0621506,0.151325,2010,2011,2012,2013,-100,-50,150,500,4199.65
-7.41064,0.849173,0.723599,1,3,0,8.37972,0.0332849,0.0563411,2010,2011,2012,2013,-100,-50,150,500,19421.6
-7.64372,0.79384,0.723599,1,3,0,9.46375,0.074077,0.16898,2010,2011,2012,2013,-100,-50,150,500,3822.44
-6.8798,1,0.723599,2,3,0,7.61641,0.0540624,0.123367,2010,2011,2012,2013,-100,-50,150,500,5691.3
-8.44777,0.588748,0.723599,1,3,0,9.69271,0.0761764,0.0231479,2010,2011,2012,2013,-100,-50,150,500,-9012.66
-7.39125,0.990691,0.723599,2,3,0,8.68536,0.083845,0.118649,2010,2011,2012,2013,-100,-50,150,500,11455.3
-7.72622,0.981376,0.723599,2,3,0,7.76505,0.0871793,0.142443,2010,2011,2012,2013,-100,-50,150,500,6903.22
-11.3893,0.766603,0.723599,3,7,0,11.6139,0.0992846,0.182431,2010,2011,2012,2013,-100,-50,150,500,4266.04
-7.94245,0.993209,0.723599,2,3,0,11.6806,0.0584515,0.182503,2010,2011,2012,2013,-100,-50,150,500,2847.46
-8.72771,0.955881,0.723599,3,11,0,9.08986,0.0806307,0.188664,2010,2011,2012,2013,-100,-50,150,500,3239.72
-8.90778,0.996721,0.723599,2,3,0,9.10115,0.0807714,0.190583,2010,2011,2012,2013,-100,-50,150,500,3176.02
-7.70021,1,0.723599,2,3,0,9.07088,0.0841416,0.154402,2010,2011,2012,2013,-100,-50,150,500,5309.25
-7.38848,1,0.723599,2,3,0,7.81086,0.0694388,0.161606,2010,2011,2012,2013,-100,-50,150,500,3988.58
-7.09903,1,0.723599,1,1,0,7.34519,0.0679733,0.142663,2010,2011,2012,2013,-100,-50,150,500,5098.25
-7.01097,0.949914,0.723599,1,3,0,7.56203,0.0488491,0.0694523,2010,2011,2012,2013,-100,-50,150,500,21202.8
-8.00566,0.679588,0.723599,1,3,0,9.37839,0.0608167,0.183488,2010,2011,2012,2013,-100,-50,150,500,2874.9
-8.33057,0.933,0.723599,2,7,0,9.25225,0.0901425,0.166706,2010,2011,2012,2013,-100,-50,150,500,4764.92
-8.79678,0.989225,0.723599,2,7,0,8.80328,0.0162393,0.0411484,2010,2011,2012,2013,-100,-50,150,500,18508
-7.49938,0.630755,0.723599,3,7,0,12.4699,0.0756878,0.16067,2010,2011,2012,2013,-100,-50,150,500,4335.67
-9.17943,0.731456,0.723599,4,31,0,9.47336,0.0283486,0.192655,2010,2011,2012,2013,-100,-50,150,500,2102.89
